#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux)
1,07/13/2021 07:15:00,21.36,1468.80
2,07/13/2021 07:30:00,18.66,831.68
3,07/13/2021 07:45:00,18.74,2.20
4,07/13/2021 08:00:00,18.96,5.77
5,07/13/2021 08:15:00,18.87,10.20
